id,brand,product,channel,feedback
1,Brand A,Protein Bar 50g,Amazon,"The taste is really good and I will buy it again."
2,Brand A,Protein Bar 50g,Amazon,"The packet arrived damaged and the bar was exposed."
3,Brand A,Protein Bar 50g,Instagram,"Love the taste but the packaging feels cheap."
4,Brand A,Protein Bar 50g,Website,"The product is too expensive compared to other brands."
5,Brand A,Protein Bar 50g,Amazon,"Received the wrong flavor in my order."
6,Brand A,Protein Bar 50g,Amazon,"The bar tastes stale and smells strange."
7,Brand A,Protein Bar 50g,Instagram,"I love this product. Please launch a chocolate flavor."
8,Brand A,Protein Bar 50g,Amazon,"The package was leaking when it arrived."
9,Brand A,Protein Bar 50g,Website,"Customer support solved my problem quickly."
10,Brand A,Protein Bar 50g,Amazon,"Delivery took much longer than expected."
11,Brand B,Face Wash 100ml,Amazon,"My skin feels fresh after using this."
12,Brand B,Face Wash 100ml,Amazon,"The bottle leaked inside the delivery box."
13,Brand B,Face Wash 100ml,Instagram,"The fragrance is too strong."
14,Brand B,Face Wash 100ml,Website,"Good product for the price."
15,Brand B,Face Wash 100ml,Amazon,"The pump stopped working after a few days."
16,Brand B,Face Wash 100ml,Amazon,"I received an opened product."
17,Brand B,Face Wash 100ml,Instagram,"Please make a larger bottle."
18,Brand B,Face Wash 100ml,Amazon,"The product caused dryness after using it."
19,Brand B,Face Wash 100ml,Website,"Fast delivery and nicely packed."
20,Brand B,Face Wash 100ml,Amazon,"The price is too high."
